plan_id,strategy,scenario_id,feasible,hard_violations,reference_breaches,total_expense_mln,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln,served_total_t,demand_total_t,shortage_total_t,shortage_critical_t,SL_total_min,SL_critical_min,cumulative_capex_mln,capex_through_2037_mln,capex_headroom_2037_mln,closing_inventory_t,min_reserve_margin_t,unused_flex_t,unused_emergency_t,procurement_mln,reservation_mln,holding_mln,opex_mln,capex_mln,violations
S0min_stress_prepared,S0min,BASE,False,2,0,11474.236264,9458.296136,8.254846,6.80453,1390.0,1390.0,0.0,0.0,1.0,1.0,180.0,180.0,1620.0,1.987945,0.071233,246.712216,480.0,10041.91751,780.0,294.219147,60.0,180.0,STORAGE_OVERFLOW@2038; STORAGE_OVERFLOW@2039
S0min_stress_prepared,S0min,MANDATORY_STRESS,False,3,1,12503.513611,10273.693763,8.746848,7.186975,1429.487945,1534.0,104.512055,0.0,0.766974,1.0,180.0,180.0,1620.0,0.0,-7.706575,246.712216,480.0,11120.41751,780.0,244.996494,60.0,180.0,RESERVE_45D@2040-01-01; STORAGE_OVERFLOW@2038; STORAGE_OVERFLOW@2039
S0min_stress_reactive,S0min,BASE,False,3,0,13610.29758,10992.185832,9.791581,7.908047,1390.0,1390.0,0.0,0.0,1.0,1.0,180.0,180.0,1620.0,104.411397,0.071233,303.053018,261.699684,12199.628735,780.0,272.569238,60.0,180.0,EMERGENCY_BASE_STREAK@2035_2040; STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040
S0min_stress_reactive,S0min,MANDATORY_STRESS,False,1,0,14505.232509,11701.336039,9.455823,7.62799,1534.0,1534.0,0.0,0.0,1.0,1.0,180.0,180.0,1620.0,0.0,-0.0,303.053018,261.699684,13196.321886,780.0,170.811017,60.0,180.0,EMERGENCY_BASE_STREAK@2035_2040
S1_new18,S1_new18,BASE,True,0,0,11379.084025,9341.559334,8.186391,6.720546,1390.0,1390.0,0.0,0.0,1.0,1.0,540.0,540.0,1260.0,48.082192,-0.0,572.917543,480.0,9561.972579,936.0,163.011839,60.0,540.0,
S1_new18,S1_new18,MANDATORY_STRESS,False,2,2,11916.570422,9768.339091,8.286432,6.792615,1438.082192,1534.0,95.917808,0.0,0.869565,1.0,540.0,540.0,1260.0,0.0,-55.294521,572.917543,480.0,10179.055631,936.0,83.415185,60.0,540.0,RESERVE_45D@2039-01-01; RESERVE_45D@2040-01-01
S1_new18_stress_prepared,S1_new18,BASE,False,2,0,12777.286974,10407.531366,9.192293,7.487433,1390.0,1390.0,0.0,0.0,1.0,1.0,540.0,540.0,1260.0,118.931507,0.071233,463.813777,480.0,10845.006659,936.0,278.180708,60.0,540.0,STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040
S1_new18_stress_prepared,S1_new18,MANDATORY_STRESS,True,0,0,13472.730987,10954.948366,8.782745,7.141427,1534.0,1534.0,0.0,0.0,1.0,1.0,540.0,540.0,1260.0,55.294521,-0.0,463.813777,480.0,11626.385063,936.0,192.246317,60.0,540.0,
S1_new18_stress_reactive,S1_new18,BASE,False,2,0,12966.137052,10539.055786,9.328156,7.582055,1390.0,1390.0,0.0,0.0,1.0,1.0,540.0,540.0,1260.0,118.931507,0.071233,443.815995,456.052632,11041.450035,936.0,270.587411,60.0,540.0,STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040
S1_new18_stress_reactive,S1_new18,MANDATORY_STRESS,True,0,0,13691.409815,11114.87454,8.9253,7.245681,1534.0,1534.0,0.0,0.0,1.0,1.0,540.0,540.0,1260.0,55.294521,-0.0,443.815995,456.052632,11867.323503,936.0,169.986705,60.0,540.0,
S1_new24,S1_new24,BASE,True,0,0,11326.02854,9293.02576,8.148222,6.68563,1390.0,1390.0,0.0,0.0,1.0,1.0,540.0,540.0,1260.0,48.082192,-0.0,572.917543,480.0,9538.083409,916.660274,153.18525,60.0,540.0,
S1_new24,S1_new24,MANDATORY_STRESS,False,3,2,11863.514937,9719.805518,8.249539,6.758866,1438.082192,1534.0,95.917808,0.0,0.869565,1.0,540.0,540.0,1260.0,0.0,-55.294521,572.917543,480.0,10155.166461,916.660274,73.588596,60.0,540.0,RESERVE_45D@2038-01-01; RESERVE_45D@2039-01-01; RESERVE_45D@2040-01-01
S1_new24,S1_new24,LOW_DEMAND,False,3,0,11571.957132,9492.573022,10.406436,8.536487,1112.0,1112.0,0.0,0.0,1.0,1.0,540.0,540.0,1260.0,119.145205,2.536986,572.917543,480.0,9538.083409,916.660274,399.113842,60.0,540.0,STORAGE_OVERFLOW@2038; STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040
S1_new24,S1_new24,HIGH_DEMAND,False,5,4,11204.128863,9195.817661,7.791021,6.394501,1438.082192,1673.0,234.917808,0.0,0.8,1.0,540.0,540.0,1260.0,0.0,-60.10274,572.917543,480.0,9538.083409,916.660274,31.285574,60.0,540.0,RESERVE_45D@2035-01-01; RESERVE_45D@2037-01-01; RESERVE_45D@2038-01-01; RESERVE_45D@2039-01-01; RESERVE_45D@2040-01-01
S1_new24_margin10,S1_new24_margin10,BASE,True,0,0,11369.603505,9328.823544,8.179571,6.711384,1390.0,1390.0,0.0,0.0,1.0,1.0,540.0,540.0,1260.0,52.890411,0.071233,572.044047,480.0,9571.401029,916.660274,163.442595,60.0,540.0,
S1_new24_margin10,S1_new24_margin10,MANDATORY_STRESS,False,3,2,11902.710572,9752.435112,8.249213,6.758958,1442.890411,1534.0,91.109589,0.0,0.869565,1.0,540.0,540.0,1260.0,0.0,-55.294521,572.044047,480.0,10190.427608,916.660274,77.523083,60.0,540.0,RESERVE_45D@2038-01-01; RESERVE_45D@2039-01-01; RESERVE_45D@2040-01-01
S1_new24_margin10,S1_new24_margin10,LOW_DEMAND,False,4,0,11606.426429,9521.463805,10.437434,8.562467,1112.0,1112.0,0.0,0.0,1.0,1.0,540.0,540.0,1260.0,119.145205,2.536986,572.044047,480.0,9571.401029,916.660274,400.265519,60.0,540.0,STORAGE_OVERFLOW@2037; STORAGE_OVERFLOW@2038; STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040
